0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1, 0, 2.5000, 4.0000, 0.0022, 0.0000, 5.0000, 0.0000, -906.2600, 2403.7910, 16.0000, 31.0000, 0.0004, 0.7812, 97.6562, 0.7233, 0.1761, 0.0000, 0.0881, 7.0556, 2.0000, 16.0000, 11.2000, 35.6050, 9.6200, 8.7900, 17.5613, 102.4000, 2.0000, 0.0629, 0.8750
2, 13, 3.6237, 4.0000, 0.0011, 0.0189, 7.7000, 0.3763, -923.6100, 2155.5017, 17.5000, 31.6667, 0.0004, 0.6020, 106.2057, 0.7749, 0.1642, 12.0000, 0.0554, 8.9533, 1.6129, 7.5914, 6.4000, 38.9184, 9.7200, 15.5323, 20.2456, 94.1569, 8.0000, 0.0406, 0.7449
3, 544, 3.5000, 4.0000, 0.0006, 0.0203, 9.1000, 0.4067, -618.7900, 1863.9563, 8.0000, 21.4286, 0.0002, 0.4777, 124.1430, 0.8018, 0.1554, 33.0000, 0.0259, 9.9536, 1.6467, 6.9000, 8.0000, 45.7770, 9.1200, 12.1978, 15.5048, 80.5523, 9.0000, 0.0225, 0.6242
4, 1434, 3.6291, 3.0000, 0.0010, 0.0451, 6.8000, 0.3311, -732.2500, 1505.1840, 10.5000, 25.1667, 0.0003, 0.4167, 163.5437, 0.7746, 0.1680, 19.0000, 0.0314, 10.1767, 1.3510, 6.7351, 3.1000, 66.9968, 8.1200, 10.1667, 12.7157, 61.1457, 2.0000, 0.0123, 0.5897
5, 2168, 3.5000, 4.0000, 0.0010, 0.0234, 8.4000, 0.3806, -551.9200, 1682.3015, 8.5000, 19.1429, 0.0003, 0.4184, 167.9996, 0.8075, 0.1586, 24.0000, 0.0234, 10.1666, 1.4627, 6.7463, 5.3000, 63.6617, 8.5100, 9.1354, 11.5377, 59.5240, 8.0000, 0.0104, 0.5816
6, 2939, 3.5672, 4.0000, 0.0008, 0.0312, 9.2000, 0.3358, -975.9800, 1788.7763, 14.5000, 33.5000, 0.0002, 0.4855, 130.2247, 0.8033, 0.1547, 18.0000, 0.0366, 9.7879, 1.4851, 7.6642, 3.1000, 47.1952, 9.5300, 14.9989, 19.0716, 76.7903, 8.0000, 0.0109, 0.6377
7, 3678, 3.6341, 4.0000, 0.0008, 0.0333, 7.5000, 0.3577, -714.5300, 1924.8737, 11.5000, 24.6000, 0.0002, 0.5078, 156.2500, 0.7791, 0.1634, 28.0000, 0.0499, 9.6701, 1.4146, 6.9350, 6.7000, 62.1880, 8.5600, 10.6967, 14.3928, 64.0000, 8.0000, 0.0212, 0.6484
8, 4341, 3.8129, 4.0000, 0.0005, 0.0230, 7.4000, 0.4000, -641.9900, 2773.8838, 11.5000, 22.1429, 0.0002, 0.5217, 196.7517, 0.7940, 0.1646, 26.0000, 0.0564, 9.9099, 1.5097, 7.0387, 6.2000, 56.6413, 8.8500, 10.8599, 14.7926, 50.8255, 13.0000, 0.0184, 0.6335
9, 5212, 3.9750, 5.0000, 0.0012, 0.0172, 11.1000, 0.3500, -870.0500, 1819.2469, 15.5000, 30.0000, 0.0003, 0.4758, 188.6056, 0.8267, 0.1455, 22.0000, 0.0331, 9.7612, 1.8917, 6.9667, 8.1000, 16.3500, 10.6000, 18.4317, 23.3333, 53.0207, 12.0000, 0.0106, 0.6290
10, 5970, 3.9405, 4.0000, 0.0007, 0.0179, 9.0000, 0.3690, -813.4000, 2436.9492, 16.0000, 28.0000, 0.0003, 0.6667, 81.9131, 0.8151, 0.1551, 17.0000, 0.0338, 8.6826, 1.7381, 7.1429, 6.4000, 31.3721, 10.2900, 15.8395, 18.8190, 122.0806, 9.0000, 0.0119, 0.7816
11, 6475, 3.8804, 5.0000, 0.0008, 0.0210, 10.7000, 0.3804, -663.3700, 2099.4018, 13.0000, 23.0000, 0.0003, 0.5833, 125.8681, 0.8249, 0.1471, 18.0000, 0.0438, 9.1062, 1.5217, 7.6087, 3.1000, 54.7509, 10.3700, 11.3365, 15.7217, 79.4483, 10.0000, 0.0070, 0.7083
12, 7048, 3.6667, 4.0000, 0.0014, 0.0193, 9.1000, 0.3462, -644.1900, 1514.9568, 15.5000, 22.2857, 0.0004, 0.3804, 154.3152, 0.8015, 0.1556, 27.0000, 0.0483, 10.2947, 1.6795, 7.0321, 3.1000, 42.1304, 8.8100, 12.9194, 18.6579, 64.8024, 14.0000, 0.0236, 0.5767
13, 7982, 4.0093, 4.0000, 0.0012, 0.0230, 8.0000, 0.3611, -785.0000, 2372.2798, 13.5000, 27.0000, 0.0003, 0.5357, 161.0332, 0.8082, 0.1607, 26.0000, 0.0393, 9.3960, 1.5185, 6.9074, 7.2000, 50.9633, 9.2100, 12.8585, 16.7259, 62.0990, 6.0000, 0.0082, 0.6786
14, 8594, 3.7727, 4.0000, 0.0007, 0.0177, 9.1000, 0.3939, -635.7100, 1977.5348, 13.5000, 22.0000, 0.0002, 0.4855, 149.1283, 0.8131, 0.1553, 28.0000, 0.0240, 9.8768, 1.6894, 6.7121, 3.1000, 41.5823, 9.8800, 12.9248, 18.8000, 67.0563, 5.0000, 0.0139, 0.6232
15, 9388, 3.7418, 4.0000, 0.0007, 0.0204, 9.9000, 0.3681, -881.4700, 1846.5830, 14.5000, 30.3333, 0.0002, 0.4759, 126.3977, 0.8102, 0.1519, 34.0000, 0.0463, 10.0688, 1.6593, 7.1538, 3.1000, 35.6664, 9.7000, 15.8202, 20.0454, 79.1154, 15.0000, 0.0176, 0.6203
16, 10470, 3.9790, 4.0000, 0.0012, 0.0275, 10.3000, 0.3566, -829.5900, 1746.1861, 16.0000, 28.6000, 0.0003, 0.4830, 90.7029, 0.8088, 0.1493, 36.0000, 0.0323, 9.6603, 1.5874, 7.4476, 3.1000, 43.5109, 10.0000, 14.2955, 17.5938, 110.2500, 16.0000, 0.0143, 0.6667
17, 11309, 4.0108, 4.0000, 0.0010, 0.0194, 10.1000, 0.3441, -671.4300, 2331.0512, 12.0000, 23.2500, 0.0003, 0.6186, 91.4018, 0.8028, 0.1496, 25.0000, 0.0352, 8.9095, 1.5376, 7.7097, 6.0000, 53.1524, 9.5100, 11.6216, 14.0312, 109.4070, 6.0000, 0.0282, 0.7526
18, 11879, 3.9100, 4.0000, 0.0016, 0.0230, 5.7000, 0.4300, -975.3600, 1403.4804, 15.5000, 33.3333, 0.0005, 0.4660, 113.1115, 0.7869, 0.1747, 25.0000, 0.0250, 9.4217, 1.4200, 6.4900, 7.8000, 52.8697, 8.5100, 14.1660, 16.9333, 88.4083, 1.0000, 0.0154, 0.6602
19, 12402, 3.8289, 4.0000, 0.0006, 0.0279, 10.3000, 0.3355, -732.8800, 2296.6311, 12.5000, 25.3333, 0.0002, 0.4969, 126.5773, 0.8227, 0.1494, 50.0000, 0.0390, 9.9313, 1.5921, 7.8947, 7.8000, 46.4296, 9.6600, 13.0768, 15.9228, 79.0031, 15.0000, 0.0000, 0.6289
1, 0, 2.0000, 4.0000, 0.0038, 0.0000, 2.6000, 0.0000, -662.0900, 2299.3624, 11.0000, 23.0000, 0.0006, 0.8333, 69.4444, 0.7842, 0.1439, 0.0000, 0.0719, 6.4722, 1.5000, 14.0000, 8.8000, 77.9050, 10.7000, 2.8900, 12.6783, 144.0000, 1.0000, 0.0144, 0.9167
2, 12, 3.2927, 4.0000, 0.0031, 0.0468, 9.7000, 0.3415, -620.3000, 1934.3315, 10.5000, 21.5000, 0.0008, 0.6444, 108.6420, 0.7814, 0.1538, 5.0000, 0.0445, 7.8086, 1.5610, 8.1220, 7.2000, 53.9690, 9.9700, 10.8245, 15.1116, 92.0455, 2.0000, 0.0202, 0.8000
3, 249, 2.9524, 3.0000, 0.0033, 0.0231, 4.4000, 0.4762, -404.5300, 1287.4195, 5.5000, 14.0000, 0.0012, 0.5778, 138.2716, 0.7963, 0.1806, 12.0000, 0.0417, 7.9688, 1.2857, 6.0476, 3.1000, 83.8536, 7.4900, 5.0414, 8.4571, 72.3214, 0.0000, 0.0000, 0.7556
4, 467, 2.7458, 3.0000, 0.0022, 0.0436, 6.0000, 0.4068, -861.4500, 1297.3983, 12.5000, 29.5000, 0.0009, 0.4500, 227.7778, 0.7564, 0.1709, 7.0000, 0.0255, 8.9360, 1.2881, 7.1864, 3.1000, 67.9162, 9.0500, 11.1150, 15.1898, 43.9024, 1.0000, 0.0291, 0.6333
5, 744, 3.2273, 4.0000, 0.0009, 0.0500, 8.2000, 0.3273, -1070.8700, 1801.8508, 16.5000, 36.6667, 0.0003, 0.5225, 160.7012, 0.7796, 0.1593, 20.0000, 0.0259, 9.5027, 1.3818, 7.8000, 3.1000, 52.7165, 9.0100, 15.0155, 18.3030, 62.2273, 7.0000, 0.0111, 0.6577
