0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1, 0, 3.2500, 4.0000, 0.0000, 0.0000, 7.3000, 0.0000, -139757.3100, 1806.5248, 13.5000, 4722.0000, 0.0000, 0.1354, 146.0538, 0.7882, 0.1649, 0.0000, 0.0433, 12.5695, 1.0000, 15.5000, 3.1000, 122.2136, 239.8600, -3.7818, 1893.2340, 68.4679, 203.0000, 0.0148, 0.2336
2, 27, 3.9125, 4.0000, 0.0014, 0.0424, 7.2000, 0.3375, -815.5200, 1908.6595, 12.5000, 28.0000, 0.0005, 0.4943, 134.7602, 0.7640, 0.1682, 9.0000, 0.0748, 9.2190, 1.3625, 8.6125, 6.4000, 64.5008, 8.1100, 10.8875, 15.0095, 74.2059, 2.0000, 0.0280, 0.6667
3, 431, 4.4579, 5.0000, 0.0008, 0.0202, 10.5000, 0.3458, -1038.4900, 2603.4332, 18.0000, 35.6667, 0.0002, 0.6147, 106.0517, 0.8162, 0.1480, 14.0000, 0.0327, 9.0960, 1.6729, 6.9252, 6.4000, 29.1062, 11.0600, 18.0602, 21.3695, 94.2937, 7.0000, 0.0125, 0.7339
4, 1076, 4.1606, 4.0000, 0.0005, 0.0248, 7.1000, 0.4041, -803.0800, 2299.9905, 13.5000, 27.5714, 0.0002, 0.4800, 112.5000, 0.7819, 0.1667, 40.0000, 0.0362, 10.0990, 1.4767, 7.3005, 6.2000, 53.9225, 8.4800, 12.5877, 16.0027, 88.8889, 8.0000, 0.0267, 0.6200
5, 2129, 4.4052, 4.0000, 0.0005, 0.0391, 11.5000, 0.2931, -1126.0300, 2178.6949, 21.5000, 38.6667, 0.0001, 0.4135, 173.0492, 0.7971, 0.1440, 26.0000, 0.0337, 10.6343, 1.6078, 7.9310, 7.2000, 31.5720, 10.1500, 18.4616, 22.1908, 57.7870, 21.0000, 0.0184, 0.5527
6, 3438, 4.7216, 4.0000, 0.0021, 0.0285, 6.3000, 0.3814, -466.4800, 1532.5282, 7.0000, 16.1667, 0.0006, 0.4804, 115.3403, 0.7875, 0.1708, 29.0000, 0.0304, 9.3249, 1.2990, 7.8866, 6.4000, 80.5330, 7.6900, 6.0428, 9.7656, 86.7000, 4.0000, 0.0133, 0.6765
7, 3968, 5.2846, 4.0000, 0.0013, 0.0385, 8.3000, 0.2615, -626.8000, 1553.8668, 8.5000, 21.6667, 0.0004, 0.3971, 108.1315, 0.7706, 0.1593, 15.0000, 0.0302, 9.9960, 1.5538, 8.7769, 7.2000, 53.3879, 8.1900, 11.1954, 14.2051, 92.4800, 8.0000, 0.0316, 0.6029
8, 4699, 4.0597, 4.0000, 0.0003, 0.0347, 9.1000, 0.3234, -728.1600, 3030.4599, 8.0000, 25.1250, 0.0002, 0.4760, 152.0895, 0.7907, 0.1554, 32.0000, 0.0411, 10.3067, 1.4925, 8.1990, 3.1000, 55.0645, 8.4500, 11.8207, 14.0301, 65.7508, 14.0000, 0.0192, 0.5913
9, 5796, 3.7443, 4.0000, 0.0007, 0.0380, 8.3000, 0.3636, -853.7700, 2068.1936, 11.0000, 29.3333, 0.0002, 0.4451, 149.7404, 0.7870, 0.1598, 30.0000, 0.0620, 10.2740, 1.4602, 7.8750, 5.5000, 53.5264, 8.4800, 13.0807, 16.7333, 66.7823, 6.0000, 0.0141, 0.5879
10, 6719, 3.7881, 4.0000, 0.0004, 0.0366, 6.6000, 0.3457, -872.2500, 2333.7939, 9.0000, 29.8889, 0.0001, 0.4094, 152.5415, 0.7750, 0.1697, 38.0000, 0.0553, 10.7402, 1.3978, 7.9740, 3.1000, 58.2465, 8.1500, 12.5603, 15.2269, 65.5559, 4.0000, 0.0164, 0.5435
