round_epochs,acc,loss,val_acc,val_loss,optimizer,dropout,losses,batch_size,epochs,activation
20,0.6154626162559814,0.23125063581687264,0.6270451464292074,0.22844148076969376,adam,0.2,<function mean_squared_error at 0x7f8d246722a8>,30,20,<function relu at 0x7f8d2461b758>
20,0.6158005927603205,0.23156385179129038,0.635521387786008,0.22898110228014396,adam,0.2,<function mean_squared_error at 0x7f8d246722a8>,20,20,<function elu at 0x7f8d2461b578>
10,0.5744824667595386,0.6805570818323298,0.60003942672421,0.6722756921951291,Nadam,0.5,<function binary_crossentropy at 0x7f8d24672758>,20,10,<function relu at 0x7f8d2461b758>
20,0.6093789608759572,0.2351207953996179,0.632958800564051,0.22993547113517931,Nadam,0.5,<function mean_squared_error at 0x7f8d246722a8>,20,20,<function elu at 0x7f8d2461b578>
20,0.5920574652604731,0.671996486051001,0.5988567005171006,0.6718490075458795,adam,0.4,<function binary_crossentropy at 0x7f8d24672758>,30,20,<function elu at 0x7f8d2461b578>
10,0.6076045639665005,0.11231709910965086,0.6114725030175849,0.1112255930031119,adam,0.2,<function logcosh at 0x7f8d246725f0>,20,10,<function elu at 0x7f8d2461b578>
10,0.5689057961616226,0.6817500116102898,0.598068210709948,0.6710119969671398,adam,0.5,<function binary_crossentropy at 0x7f8d24672758>,30,10,<function relu at 0x7f8d2461b758>
20,0.608618510955489,0.6570836011750012,0.6250739272426107,0.6547861153877818,Nadam,0.2,<function binary_crossentropy at 0x7f8d24672758>,30,20,<function relu at 0x7f8d2461b758>
10,0.6007604630727732,0.11355303669837039,0.60930416668258,0.11211506793267766,adam,0.4,<function logcosh at 0x7f8d246725f0>,30,10,<function relu at 0x7f8d2461b758>
10,0.5960287356557955,0.2381635674278999,0.6203430004898153,0.23205887733797292,Nadam,0.4,<function mean_squared_error at 0x7f8d246722a8>,30,10,<function elu at 0x7f8d2461b578>
10,0.5785382415707423,0.24375068969524102,0.6132466077170099,0.2406220540254515,adam,0.5,<function mean_squared_error at 0x7f8d246722a8>,30,10,<function elu at 0x7f8d2461b578>
10,0.6073510786577474,0.233606406031503,0.6140350891644729,0.2332118496771703,adam,0.2,<function mean_squared_error at 0x7f8d246722a8>,20,10,<function relu at 0x7f8d2461b758>
20,0.6186734318582127,0.23215594744198828,0.63177607688306,0.22955690199175507,adam,0.2,<function mean_squared_error at 0x7f8d246722a8>,30,20,<function elu at 0x7f8d2461b578>
20,0.5945923120274441,0.6713843603752613,0.616991919366044,0.6614105497124678,Nadam,0.5,<function binary_crossentropy at 0x7f8d24672758>,20,20,<function relu at 0x7f8d2461b758>
20,0.6060836500742791,0.6740086838370091,0.625073919135533,0.6697653990606808,adam,0.4,<function binary_crossentropy at 0x7f8d24672758>,20,20,<function elu at 0x7f8d2461b578>
20,0.6025348616190283,0.11282846367480033,0.6219199740590604,0.11064478893346295,adam,0.5,<function logcosh at 0x7f8d246725f0>,30,20,<function relu at 0x7f8d2461b758>
20,0.60709759377708,0.23432841302727062,0.6294106062807887,0.23102900032200052,Nadam,0.4,<function mean_squared_error at 0x7f8d246722a8>,20,20,<function relu at 0x7f8d2461b758>
20,0.617237009954795,0.10985590941199885,0.6256652887394366,0.10915379899741394,adam,0.2,<function logcosh at 0x7f8d246725f0>,20,20,<function relu at 0x7f8d2461b758>
10,0.568483312924703,0.694739584561184,0.5856495189368314,0.6823363204150893,adam,0.5,<function binary_crossentropy at 0x7f8d24672758>,20,10,<function elu at 0x7f8d2461b578>
10,0.594000852795457,0.23824410051749534,0.6096984094800786,0.2345503110423164,adam,0.4,<function mean_squared_error at 0x7f8d246722a8>,30,10,<function relu at 0x7f8d2461b758>
20,0.6166455429417199,0.10990643108764882,0.6262566538785728,0.10821990340671994,Nadam,0.2,<function logcosh at 0x7f8d246725f0>,20,20,<function relu at 0x7f8d2461b758>
10,0.6002534926315375,0.6648549233552621,0.6148235827138055,0.6671532211678751,Nadam,0.2,<function binary_crossentropy at 0x7f8d24672758>,30,10,<function relu at 0x7f8d2461b758>
10,0.5988170690409584,0.23671460118306856,0.6075300614544327,0.23374052068760898,Nadam,0.4,<function mean_squared_error at 0x7f8d246722a8>,20,10,<function elu at 0x7f8d2461b578>
10,0.6075200676968393,0.11141833520711199,0.6227084585789884,0.11000975063513092,Nadam,0.2,<function logcosh at 0x7f8d246725f0>,20,10,<function elu at 0x7f8d2461b578>
10,0.5902830670541683,0.11449872100836726,0.6205401198529831,0.11267922457367058,Nadam,0.5,<function logcosh at 0x7f8d246725f0>,30,10,<function elu at 0x7f8d2461b578>
20,0.6031263209013784,0.11312991549407675,0.6248767994786305,0.11030494433323025,Nadam,0.5,<function logcosh at 0x7f8d246725f0>,20,20,<function relu at 0x7f8d2461b758>
10,0.5843684059887634,0.6975398061393332,0.6213286098187524,0.6867730299937239,Nadam,0.5,<function binary_crossentropy at 0x7f8d24672758>,30,10,<function elu at 0x7f8d2461b578>
20,0.601520919754478,0.6698681218844705,0.6108811420494815,0.6627157139467953,adam,0.4,<function binary_crossentropy at 0x7f8d24672758>,30,20,<function relu at 0x7f8d2461b758>
10,0.5452471499987982,0.6939617460117493,0.6000394253142834,0.684198827191779,adam,0.4,<function binary_crossentropy at 0x7f8d24672758>,20,10,<function elu at 0x7f8d2461b578>
20,0.5837769399577674,0.6763659912823724,0.61364085173057,0.6680282596509742,Nadam,0.5,<function binary_crossentropy at 0x7f8d24672758>,30,20,<function relu at 0x7f8d2461b758>
10,0.5843684071597037,0.23994480993206813,0.6075300682690776,0.23551626273473292,adam,0.5,<function mean_squared_error at 0x7f8d246722a8>,30,10,<function relu at 0x7f8d2461b758>
10,0.5592733499970575,0.6879530845939433,0.5984624531549649,0.6714944393235787,Nadam,0.5,<function binary_crossentropy at 0x7f8d24672758>,30,10,<function relu at 0x7f8d2461b758>
20,0.6016899108962264,0.23596482192306614,0.6173861682732242,0.23263253087408087,adam,0.5,<function mean_squared_error at 0x7f8d246722a8>,30,20,<function relu at 0x7f8d2461b758>
20,0.6170680247936563,0.23103923699021792,0.6300019770596311,0.2269827632650971,Nadam,0.2,<function mean_squared_error at 0x7f8d246722a8>,30,20,<function relu at 0x7f8d2461b758>
20,0.6037177870834635,0.23620503527684003,0.6160063082335758,0.23175527099883464,adam,0.5,<function mean_squared_error at 0x7f8d246722a8>,20,20,<function relu at 0x7f8d2461b758>
10,0.5837769330706232,0.24016200225716863,0.6069386953342226,0.23552283501921145,adam,0.5,<function mean_squared_error at 0x7f8d246722a8>,20,10,<function relu at 0x7f8d2461b758>
10,0.5837769331209862,0.24221311327672781,0.6083185489704547,0.23940284087851557,adam,0.5,<function mean_squared_error at 0x7f8d246722a8>,20,10,<function elu at 0x7f8d2461b578>
20,0.5972961566092648,0.6707920688438577,0.6148235767627406,0.6617458225612501,adam,0.5,<function binary_crossentropy at 0x7f8d24672758>,20,20,<function relu at 0x7f8d2461b758>
10,0.589353614207003,0.11440762150662832,0.6089099144620724,0.11230543690386453,Nadam,0.5,<function logcosh at 0x7f8d246725f0>,20,10,<function relu at 0x7f8d2461b758>
10,0.6083650206482053,0.23345610040448916,0.6177804052958986,0.23108758730529305,Nadam,0.2,<function mean_squared_error at 0x7f8d246722a8>,20,10,<function elu at 0x7f8d2461b578>
20,0.6042247649532458,0.6816050744177573,0.6236940730189092,0.6762762192013276,Nadam,0.4,<function binary_crossentropy at 0x7f8d24672758>,30,20,<function elu at 0x7f8d2461b578>
20,0.6114913415798015,0.6631482647449395,0.6280307514108711,0.6541589091521101,Nadam,0.2,<function binary_crossentropy at 0x7f8d24672758>,20,20,<function elu at 0x7f8d2461b578>
20,0.6061681513550617,0.11230691397711351,0.619160265259176,0.11052935631722123,Nadam,0.5,<function logcosh at 0x7f8d246725f0>,30,20,<function relu at 0x7f8d2461b758>
20,0.6055766800611292,0.11205472816671054,0.6197516269909896,0.1097824418571793,Nadam,0.4,<function logcosh at 0x7f8d246725f0>,20,20,<function relu at 0x7f8d2461b758>
20,0.6196028772642403,0.23037016542843236,0.6363098814528345,0.22766715964926973,Nadam,0.2,<function mean_squared_error at 0x7f8d246722a8>,30,20,<function elu at 0x7f8d2461b578>
20,0.6079425437318458,0.1115984832989953,0.620934359225535,0.10994612167519788,adam,0.4,<function logcosh at 0x7f8d246725f0>,20,20,<function relu at 0x7f8d2461b758>
20,0.6149556479677653,0.11019517770284935,0.6280307585779976,0.10915728166285243,adam,0.2,<function logcosh at 0x7f8d246725f0>,30,20,<function elu at 0x7f8d2461b578>
20,0.6137727085275896,0.23223757529792577,0.6325645565681149,0.2294996584657849,Nadam,0.4,<function mean_squared_error at 0x7f8d246722a8>,20,20,<function elu at 0x7f8d2461b578>
20,0.6161385717198574,0.11016796557622265,0.6357185103215105,0.109008454906971,adam,0.2,<function logcosh at 0x7f8d246725f0>,20,20,<function elu at 0x7f8d2461b578>
20,0.606506132883113,0.11241525348337279,0.6221170967884277,0.11080270007226257,adam,0.5,<function logcosh at 0x7f8d246725f0>,30,20,<function elu at 0x7f8d2461b578>
20,0.5943388261269253,0.6747458666802258,0.6144293333953968,0.66388947552956,adam,0.4,<function binary_crossentropy at 0x7f8d24672758>,20,20,<function relu at 0x7f8d2461b758>
20,0.6104773989346242,0.6578298450322105,0.6229055805270215,0.6542098012027857,adam,0.2,<function binary_crossentropy at 0x7f8d24672758>,20,20,<function relu at 0x7f8d2461b758>
10,0.5632446202790632,0.6945663872629366,0.5933372846621159,0.6846501845216554,adam,0.4,<function binary_crossentropy at 0x7f8d24672758>,30,10,<function elu at 0x7f8d2461b578>
10,0.585804823120284,0.11516621546449166,0.618371778835847,0.11299240916509166,adam,0.4,<function logcosh at 0x7f8d246725f0>,30,10,<function elu at 0x7f8d2461b578>
20,0.6202788399803926,0.10956072820532307,0.6256652911480611,0.10900479005258651,Nadam,0.2,<function logcosh at 0x7f8d246725f0>,30,20,<function relu at 0x7f8d2461b758>
10,0.5838614287359281,0.6748184840488797,0.6051645977255533,0.66760876436993,adam,0.5,<function binary_crossentropy at 0x7f8d24672758>,20,10,<function relu at 0x7f8d2461b758>
20,0.6190114130085412,0.10961652274216385,0.6298048561102959,0.10874634028573772,adam,0.2,<function logcosh at 0x7f8d246725f0>,30,20,<function relu at 0x7f8d2461b758>
20,0.6106463893838809,0.11170738626052722,0.6213286029277364,0.11067211057821158,adam,0.4,<function logcosh at 0x7f8d246725f0>,20,20,<function elu at 0x7f8d2461b578>
20,0.6016054147776542,0.6633729726944888,0.6223142182664855,0.6558368314236033,Nadam,0.4,<function binary_crossentropy at 0x7f8d24672758>,30,20,<function relu at 0x7f8d2461b758>
20,0.6184199417649717,0.23100760478383134,0.6353242659378446,0.22836106863161434,Nadam,0.2,<function mean_squared_error at 0x7f8d246722a8>,20,20,<function elu at 0x7f8d2461b578>
10,0.6017744044840563,0.681321177343603,0.6169919240834232,0.6853063146014808,Nadam,0.2,<function binary_crossentropy at 0x7f8d24672758>,30,10,<function elu at 0x7f8d2461b578>
20,0.5997465207549556,0.23675623721194056,0.6242854379818046,0.23219972334269023,Nadam,0.5,<function mean_squared_error at 0x7f8d246722a8>,30,20,<function relu at 0x7f8d2461b758>
20,0.5843684074996542,0.6840345416836563,0.6138379719749419,0.6754831219833325,adam,0.5,<function binary_crossentropy at 0x7f8d24672758>,30,20,<function elu at 0x7f8d2461b578>
20,0.6098014367850562,0.11188376148793583,0.6301990939965503,0.10916065348015953,Nadam,0.5,<function logcosh at 0x7f8d246725f0>,20,20,<function elu at 0x7f8d2461b578>
10,0.584706385477112,0.24014356229997255,0.6118667524358635,0.23614238961288592,adam,0.4,<function mean_squared_error at 0x7f8d246722a8>,30,10,<function elu at 0x7f8d2461b578>
10,0.5871567383414842,0.23871219041078565,0.6114725020600098,0.23419744812617424,Nadam,0.5,<function mean_squared_error at 0x7f8d246722a8>,20,10,<function relu at 0x7f8d2461b758>
10,0.6109843764392746,0.23362723782337513,0.6187660214394807,0.23039527102591087,Nadam,0.2,<function mean_squared_error at 0x7f8d246722a8>,30,10,<function relu at 0x7f8d2461b758>
10,0.5941698373774209,0.11348801155003707,0.612655233589592,0.11157432689648888,Nadam,0.4,<function logcosh at 0x7f8d246725f0>,20,10,<function relu at 0x7f8d2461b758>
10,0.6076045696575227,0.11148411862750471,0.6296077330460709,0.10982482745970304,Nadam,0.2,<function logcosh at 0x7f8d246725f0>,30,10,<function elu at 0x7f8d2461b578>
10,0.6016054084445033,0.6636629696631663,0.616400553245834,0.6592284862327312,adam,0.2,<function binary_crossentropy at 0x7f8d24672758>,20,10,<function relu at 0x7f8d2461b758>
20,0.6077735525019621,0.23403985411193132,0.6225113349860409,0.23097930323400842,adam,0.4,<function mean_squared_error at 0x7f8d246722a8>,20,20,<function relu at 0x7f8d2461b758>
20,0.6098014429797086,0.23421413051991408,0.6232998279479042,0.2299154572748419,Nadam,0.5,<function mean_squared_error at 0x7f8d246722a8>,30,20,<function elu at 0x7f8d2461b578>
20,0.6098859389471917,0.11155002058987684,0.6278336358662543,0.10959516686846137,Nadam,0.5,<function logcosh at 0x7f8d246725f0>,30,20,<function elu at 0x7f8d2461b578>
10,0.5896915998900042,0.6783151131014709,0.6093041679338899,0.6651675519965796,Nadam,0.4,<function binary_crossentropy at 0x7f8d24672758>,30,10,<function relu at 0x7f8d2461b758>
20,0.607942550203495,0.23400962077015103,0.6242854365718781,0.23089712518055294,adam,0.4,<function mean_squared_error at 0x7f8d246722a8>,30,20,<function relu at 0x7f8d2461b758>
10,0.6028728418628224,0.11213075177902203,0.6158091936289101,0.111233300178591,adam,0.2,<function logcosh at 0x7f8d246725f0>,30,10,<function relu at 0x7f8d2461b758>
10,0.5688213008362681,0.6889095263336095,0.5984624547411322,0.681132292585356,Nadam,0.4,<function binary_crossentropy at 0x7f8d24672758>,30,10,<function elu at 0x7f8d2461b578>
10,0.6008449580581772,0.2345172154359491,0.613640850655501,0.23104771825422696,adam,0.2,<function mean_squared_error at 0x7f8d246722a8>,30,10,<function relu at 0x7f8d2461b758>
