Atom No, Start Index, avg_internal_word_freq_class, average_word_length, sichels_s, punctuation_percentage, automated_readability_index, stopword_percentage, coleman_liau_index, honore_r_measure, linsear_write_formula, average_sentence_length, simpsons_d, hapax_legomena, yule_k_characteristic, alpha_chars_ratio, white_chars_ratio, syntactic_complexity, upper_chars_ratio, brunets_w, average_syllables_per_word, avg_external_word_freq_class, smog_index, flesch_reading_ease, dale_chall_readability_score, flesch_kincaid_grade, gunning_fog_index, yule_i, polysyllablcount, digit_chars_ratio, type_token_ratio
1, 0, 3.6000, 4.0000, 0.0020, 0.0000, 5.4000, 0.0000, -1199.6400, 1531.8485, 21.0000, 41.0000, 0.0006, 0.7143, 102.0408, 0.7597, 0.1631, 0.0000, 0.1116, 7.5972, 1.4000, 10.8000, 11.2000, 83.3200, 9.4300, 2.8800, 24.2049, 98.0000, 2.0000, 0.0601, 0.8333
2, 30, 3.5963, 4.0000, 0.0010, 0.0171, 5.5000, 0.4037, -663.8100, 1633.9885, 10.5000, 22.8000, 0.0004, 0.4622, 156.7686, 0.7655, 0.1775, 16.0000, 0.0635, 9.7718, 1.4220, 6.7064, 5.7000, 64.4052, 7.1600, 9.6918, 15.0849, 63.7883, 3.0000, 0.0407, 0.6218
3, 616, 4.0308, 4.0000, 0.0009, 0.0280, 7.5000, 0.3462, -536.1700, 2109.2649, 8.0000, 18.5714, 0.0003, 0.5255, 119.3457, 0.7717, 0.1639, 21.0000, 0.0350, 9.5873, 1.3538, 7.5538, 3.1000, 73.4496, 8.5900, 7.6282, 11.7363, 83.7902, 4.0000, 0.0322, 0.6715
4, 1332, 3.6460, 4.0000, 0.0009, 0.0333, 6.7000, 0.3540, -583.1100, 1844.3616, 7.5000, 20.1250, 0.0002, 0.4379, 161.0588, 0.7779, 0.1686, 23.0000, 0.0344, 10.1690, 1.2857, 7.3540, 3.1000, 77.6367, 8.0900, 7.4302, 11.5283, 62.0891, 2.0000, 0.0202, 0.5976
5, 2176, 4.2261, 4.0000, 0.0012, 0.0321, 7.8000, 0.2957, -553.4500, 2003.4158, 8.5000, 19.1667, 0.0004, 0.4750, 165.2778, 0.7689, 0.1621, 18.0000, 0.0626, 9.7089, 1.4174, 7.2174, 3.1000, 67.4695, 7.7500, 8.6102, 12.5362, 60.5042, 6.0000, 0.0337, 0.6333
6, 2801, 3.9204, 4.0000, 0.0016, 0.0159, 6.0000, 0.4779, -545.8500, 1240.9393, 10.5000, 18.8333, 0.0005, 0.3782, 209.0248, 0.7917, 0.1733, 17.0000, 0.0191, 10.1037, 1.4071, 6.2124, 3.1000, 68.6802, 7.2200, 8.3585, 11.4271, 47.8412, 3.0000, 0.0191, 0.5714
7, 3432, 4.0805, 4.0000, 0.0019, 0.0243, 5.6000, 0.4368, -632.5600, 1339.7724, 10.5000, 21.7500, 0.0007, 0.4444, 153.0864, 0.7876, 0.1748, 17.0000, 0.0221, 9.3757, 1.4138, 6.2529, 6.0000, 65.1519, 8.4000, 9.5753, 10.9989, 65.3226, 2.0000, 0.0133, 0.6444
8, 3886, 4.4808, 4.0000, 0.0009, 0.0207, 7.4000, 0.3510, -670.7400, 1407.1691, 9.0000, 23.1111, 0.0002, 0.3687, 106.6066, 0.7892, 0.1652, 29.0000, 0.0482, 10.4993, 1.5673, 7.5192, 6.4000, 50.7830, 8.5700, 11.9176, 15.2060, 93.8028, 5.0000, 0.0250, 0.5668
9, 5050, 4.2921, 4.0000, 0.0008, 0.0201, 6.9000, 0.4607, -645.8100, 2431.3447, 11.5000, 22.2500, 0.0002, 0.6022, 141.0568, 0.7807, 0.1670, 19.0000, 0.0362, 9.0177, 1.4719, 6.6854, 3.1000, 59.7277, 9.6600, 10.4560, 15.1921, 70.8934, 5.0000, 0.0322, 0.7204
10, 5549, 3.6667, 4.0000, 0.0049, 0.0195, 5.3000, 0.5417, -462.6700, 1161.3603, 7.5000, 16.0000, 0.0017, 0.4706, 138.4083, 0.7782, 0.1751, 8.0000, 0.0272, 8.3545, 1.3750, 6.3958, 3.1000, 74.2700, 7.2200, 6.8750, 11.4000, 72.2500, 3.0000, 0.0272, 0.7059
