Atom No, Start Index, avg_internal_word_freq_class, average_word_length, sichels_s, punctuation_percentage, automated_readability_index, stopword_percentage, coleman_liau_index, honore_r_measure, linsear_write_formula, average_sentence_length, simpsons_d, hapax_legomena, yule_k_characteristic, alpha_chars_ratio, white_chars_ratio, syntactic_complexity, upper_chars_ratio, brunets_w, average_syllables_per_word, avg_external_word_freq_class, smog_index, flesch_reading_ease, dale_chall_readability_score, flesch_kincaid_grade, gunning_fog_index, yule_i, polysyllablcount, digit_chars_ratio, type_token_ratio
1, 0, 2.0000, 5.0000, 0.0026, 0.0000, 28.5000, 0.0000, -540.1400, 1766.6634, 11.0000, 19.0000, 0.0003, 0.9000, 50.0000, 0.8197, 0.1393, 0.0000, 0.0164, 6.0820, 4.0000, 12.5000, 13.0000, -133.5950, 10.8900, 32.3900, 24.4421, 200.0000, 3.0000, 0.0000, 0.9500
2, 24, 4.3028, 5.0000, 0.0004, 0.0248, 11.4000, 0.3592, -514.1500, 2484.9066, 8.5000, 18.0000, 0.0002, 0.5461, 135.9072, 0.8308, 0.1451, 23.0000, 0.0121, 9.7309, 1.9155, 6.9366, 6.0000, 26.7680, 9.2000, 13.9353, 17.4778, 73.5796, 21.0000, 0.0000, 0.6579
3, 913, 4.7181, 5.0000, 0.0005, 0.0180, 10.0000, 0.3833, -823.3700, 2339.5097, 12.0000, 28.3750, 0.0001, 0.4894, 127.8407, 0.8139, 0.1515, 47.0000, 0.0123, 10.1711, 1.7665, 7.1718, 6.6000, 28.5868, 9.4100, 16.3212, 21.3941, 78.2224, 21.0000, 0.0144, 0.6170
4, 2302, 4.9512, 3.0000, 0.0016, 0.0273, 4.3000, 0.4146, -799.4200, 1674.5533, 12.5000, 27.3333, 0.0005, 0.5059, 124.5675, 0.7469, 0.1836, 18.0000, 0.0124, 9.1129, 1.4024, 6.9390, 7.8000, 60.4453, 7.5900, 11.6188, 13.8602, 80.2778, 1.0000, 0.0422, 0.6824
5, 2708, 4.4066, 5.0000, 0.0005, 0.0256, 11.7000, 0.3571, -879.1500, 2958.0670, 13.0000, 30.3333, 0.0002, 0.4840, 218.9905, 0.8304, 0.1431, 18.0000, 0.0080, 10.2716, 1.7967, 6.8681, 5.5000, 24.0456, 10.6800, 17.4411, 21.3641, 45.6641, 24.0000, 0.0009, 0.5904
6, 3843, 4.3366, 5.0000, 0.0008, 0.0247, 13.8000, 0.3465, -726.1600, 1769.1295, 15.0000, 25.2500, 0.0004, 0.5577, 105.3994, 0.8351, 0.1341, 28.0000, 0.0108, 9.2113, 1.7921, 8.1782, 8.8000, 29.5963, 10.0500, 15.4040, 19.6050, 94.8772, 17.0000, 0.0062, 0.7019
7, 4495, 3.5862, 3.0000, 0.0015, 0.0823, 7.5000, 0.3276, -1703.0200, 1488.8291, 21.0000, 58.0000, 0.0012, 0.4576, 344.7285, 0.7284, 0.1605, 10.0000, 0.0494, 9.1355, 1.1552, 7.2414, 11.2000, 50.2374, 9.1900, 20.6610, 25.2690, 29.0083, 1.0000, 0.0041, 0.5932
8, 4741, 4.5816, 5.0000, 0.0009, 0.0186, 11.6000, 0.3617, -816.2000, 1741.9635, 17.0000, 28.2000, 0.0002, 0.4726, 125.7272, 0.8289, 0.1436, 29.0000, 0.0066, 9.8716, 1.8652, 7.1915, 8.2000, 20.4120, 9.6900, 17.4179, 21.2091, 79.5373, 23.0000, 0.0066, 0.6301
9, 5656, 4.5081, 5.0000, 0.0010, 0.0210, 15.0000, 0.4032, -711.2500, 2232.5515, 18.5000, 24.8000, 0.0003, 0.5469, 114.7461, 0.8495, 0.1295, 34.0000, 0.0082, 9.4529, 1.6532, 7.3629, 5.7000, 41.8001, 10.2900, 13.5901, 17.3394, 87.1489, 25.0000, 0.0000, 0.6875
10, 6516, 4.3894, 5.0000, 0.0009, 0.0315, 11.6000, 0.3540, -650.3600, 1996.0082, 13.5000, 22.6000, 0.0003, 0.5169, 110.6004, 0.8083, 0.1431, 23.0000, 0.0157, 9.4880, 1.5929, 7.9558, 5.7000, 49.1349, 9.8400, 12.0205, 16.1196, 90.4156, 18.0000, 0.0114, 0.6695
11, 7218, 4.0822, 4.0000, 0.0012, 0.0682, 12.4000, 0.2260, -700.5800, 1674.4918, 8.5000, 24.3333, 0.0003, 0.4392, 247.4434, 0.7911, 0.1393, 27.0000, 0.0097, 10.1563, 1.4041, 8.1644, 7.2000, 63.3490, 9.3200, 10.4685, 14.3909, 40.4133, 7.0000, 0.0014, 0.5878
12, 7939, 4.2849, 5.0000, 0.0007, 0.0337, 13.7000, 0.2634, -1079.9600, 1854.2972, 16.0000, 37.2000, 0.0002, 0.4632, 127.4238, 0.8234, 0.1349, 25.0000, 0.0115, 10.1398, 1.6882, 8.1075, 6.7000, 26.2576, 10.1400, 18.8384, 22.6219, 78.4783, 20.0000, 0.0080, 0.6105
13, 9069, 4.3228, 5.0000, 0.0005, 0.0169, 11.4000, 0.3544, -917.0800, 2232.1442, 14.5000, 31.6000, 0.0002, 0.5031, 148.2931, 0.8385, 0.1446, 24.0000, 0.0050, 9.9652, 1.7785, 7.3671, 8.2000, 24.3015, 10.6300, 17.7201, 21.5008, 67.4340, 15.0000, 0.0000, 0.6258
14, 10075, 3.8258, 5.0000, 0.0014, 0.0218, 11.1000, 0.3939, -763.4500, 1549.7589, 13.0000, 26.4000, 0.0004, 0.3577, 191.8056, 0.8327, 0.1455, 19.0000, 0.0061, 10.4509, 1.6515, 6.7348, 9.4000, 40.3208, 9.1000, 14.1939, 18.7418, 52.1361, 17.0000, 0.0000, 0.5401
15, 10903, 4.6147, 5.0000, 0.0017, 0.0210, 12.3000, 0.3303, -787.2000, 1608.4621, 15.5000, 27.2500, 0.0004, 0.4867, 133.1349, 0.8387, 0.1403, 16.0000, 0.0056, 9.4842, 1.7982, 7.2936, 7.2000, 27.0515, 10.3000, 16.2558, 20.4413, 75.1118, 12.0000, 0.0000, 0.6637
16, 11619, 4.2750, 5.0000, 0.0016, 0.0142, 9.6000, 0.4125, -773.1600, 1815.4110, 15.0000, 26.6667, 0.0004, 0.5663, 127.7399, 0.8340, 0.1518, 12.0000, 0.0202, 8.8913, 1.8125, 7.0875, 7.8000, 26.4308, 9.5200, 16.1975, 19.6667, 78.2841, 8.0000, 0.0000, 0.7229
17, 12116, 4.7119, 5.0000, 0.0024, 0.0253, 15.5000, 0.2881, -849.7600, 2084.0747, 15.5000, 29.5000, 0.0007, 0.6393, 188.1215, 0.8481, 0.1266, 10.0000, 0.0076, 8.3310, 1.7119, 7.5763, 3.1000, 32.0688, 10.7900, 16.1150, 19.2576, 53.1571, 6.0000, 0.0000, 0.7705
18, 12514, 4.0183, 5.0000, 0.0009, 0.0237, 10.4000, 0.3945, -628.1200, 1793.7507, 12.5000, 21.8000, 0.0004, 0.4211, 192.3669, 0.8279, 0.1484, 27.0000, 0.0104, 10.0134, 1.5780, 7.4037, 5.7000, 51.2108, 9.1500, 11.5322, 14.9585, 51.9840, 12.0000, 0.0000, 0.5789
19, 13191, 3.7273, 5.0000, 0.0017, 0.0229, 13.4000, 0.3864, -630.4000, 2875.9841, 14.0000, 22.0000, 0.0004, 0.7391, 85.0662, 0.8431, 0.1340, 4.0000, 0.0098, 7.6816, 1.8409, 7.5227, 3.1000, 28.7641, 10.2200, 14.7127, 16.0727, 117.5556, 7.0000, 0.0000, 0.8478
20, 13500, 4.4157, 5.0000, 0.0005, 0.0306, 15.6000, 0.3133, -795.4400, 1922.1074, 18.5000, 27.6667, 0.0003, 0.4094, 129.9545, 0.8398, 0.1278, 25.0000, 0.0131, 10.4338, 1.6928, 8.7108, 3.1000, 35.5449, 9.6300, 15.1747, 19.5004, 76.9500, 34.0000, 0.0000, 0.5614
21, 14645, 4.5342, 5.0000, 0.0032, 0.0239, 11.8000, 0.3562, -701.3500, 1685.5376, 14.0000, 24.3333, 0.0009, 0.5200, 88.8889, 0.8348, 0.1413, 14.0000, 0.0130, 8.7333, 1.6712, 7.7397, 9.7000, 40.7504, 10.5300, 13.6205, 16.3087, 112.5000, 10.0000, 0.0000, 0.7333
22, 15108, 4.6744, 5.0000, 0.0031, 0.0151, 9.5000, 0.4419, -620.3700, 1934.3315, 13.5000, 21.5000, 0.0008, 0.6444, 108.6420, 0.8189, 0.1509, 10.0000, 0.0151, 7.8086, 1.6512, 7.6977, 8.8000, 45.3241, 8.9100, 12.2787, 16.0419, 92.0455, 7.0000, 0.0151, 0.8000
23, 15376, 4.3830, 4.0000, 0.0013, 0.0277, 9.4000, 0.3830, -679.6700, 1539.6142, 12.0000, 23.5000, 0.0003, 0.4069, 108.4423, 0.8126, 0.1535, 34.0000, 0.0101, 10.0147, 1.6312, 7.3475, 8.8000, 44.9825, 7.9600, 12.8232, 16.7759, 92.2149, 13.0000, 0.0038, 0.6069
24, 16174, 4.4756, 5.0000, 0.0011, 0.0199, 10.9000, 0.4024, -791.2400, 2386.9729, 16.0000, 27.3333, 0.0004, 0.6310, 76.5306, 0.8347, 0.1454, 14.0000, 0.0060, 8.6802, 1.5732, 7.0122, 12.5000, 46.0014, 10.8200, 13.6334, 18.2504, 130.6667, 11.0000, 0.0000, 0.7738
25, 16679, 4.2500, 5.0000, 0.0018, 0.0116, 10.8000, 0.4615, -495.4300, 2257.8536, 8.0000, 17.3333, 0.0006, 0.6000, 152.0661, 0.8430, 0.1453, 5.0000, 0.0087, 8.2955, 1.6346, 6.9615, 9.7000, 50.9532, 9.0900, 10.4585, 14.6256, 65.7609, 2.0000, 0.0000, 0.7455
26, 17026, 3.9239, 4.0000, 0.0005, 0.0484, 13.7000, 0.2609, -886.4100, 2302.0015, 15.5000, 30.6667, 0.0004, 0.5106, 210.5025, 0.8182, 0.1335, 9.0000, 0.0213, 9.5174, 1.5109, 8.7283, 8.8000, 47.8888, 10.5300, 14.1983, 19.2232, 47.5054, 12.0000, 0.0000, 0.6277
27, 17546, 4.7982, 5.0000, 0.0011, 0.0332, 13.3000, 0.2477, -1054.7400, 1986.9238, 18.5000, 36.3333, 0.0004, 0.5357, 186.5434, 0.8311, 0.1357, 13.0000, 0.0121, 9.3960, 1.6147, 8.1009, 7.8000, 33.3548, 10.8000, 17.6332, 21.1388, 53.6068, 11.0000, 0.0000, 0.6786
28, 18212, 4.6575, 5.0000, 0.0009, 0.0155, 14.8000, 0.3288, -697.6800, 2223.2381, 17.0000, 24.3333, 0.0003, 0.6711, 90.0277, 0.8549, 0.1296, 10.0000, 0.0058, 8.5123, 2.2192, 8.3014, 13.6000, -5.6058, 11.7000, 20.0863, 25.6237, 111.0769, 17.0000, 0.0000, 0.7895
29, 18732, 4.6667, 5.0000, 0.0015, 0.0221, 13.5000, 0.2810, -733.8800, 1219.5001, 14.0000, 25.5000, 0.0004, 0.3165, 133.7927, 0.8424, 0.1355, 44.0000, 0.0060, 10.5181, 1.9608, 8.0458, 6.4000, 15.0701, 9.7000, 17.4923, 21.9647, 74.7425, 22.0000, 0.0000, 0.5443
30, 19731, 4.2857, 5.0000, 0.0013, 0.0191, 13.0000, 0.3492, -601.3000, 1947.2733, 12.5000, 21.0000, 0.0006, 0.5909, 151.5152, 0.8445, 0.1364, 12.0000, 0.0072, 8.6090, 1.8571, 7.6825, 6.4000, 28.4057, 10.4200, 14.5143, 19.1937, 66.0000, 9.0000, 0.0000, 0.7273
31, 20152, 4.8882, 5.0000, 0.0005, 0.0222, 14.1000, 0.3158, -621.0300, 2315.3536, 11.5000, 21.7143, 0.0001, 0.5597, 96.5152, 0.8447, 0.1331, 30.0000, 0.0068, 9.6015, 1.8882, 7.7697, 6.9000, 25.0568, 11.3700, 15.1588, 21.5805, 103.6107, 26.0000, 0.0000, 0.6855
32, 21192, 4.9014, 5.0000, 0.0006, 0.0238, 13.0000, 0.2887, -580.1900, 2530.0801, 11.0000, 20.2857, 0.0002, 0.5503, 99.9955, 0.8364, 0.1376, 34.0000, 0.0108, 9.5694, 1.7606, 8.3239, 6.9000, 37.3013, 10.1500, 13.0961, 16.8467, 100.0045, 19.0000, 0.0022, 0.6846
33, 22118, 4.5000, 5.0000, 0.0008, 0.0222, 12.4000, 0.2946, -643.5300, 1738.3943, 14.0000, 22.4000, 0.0002, 0.5470, 132.9535, 0.8380, 0.1399, 19.0000, 0.0069, 9.4500, 2.0536, 7.3929, 9.9000, 10.3669, 10.0100, 17.3781, 22.8886, 75.2143, 19.0000, 0.0000, 0.6752
34, 22843, 4.5325, 5.0000, 0.0003, 0.0288, 13.5000, 0.3136, -693.7000, 2244.3307, 14.0000, 24.1429, 0.0002, 0.5402, 103.7125, 0.8357, 0.1356, 36.0000, 0.0084, 9.7867, 1.9112, 7.2722, 8.8000, 20.6389, 10.1000, 16.3784, 21.2548, 96.4204, 25.0000, 0.0000, 0.6609
35, 23923, 4.4183, 4.0000, 0.0005, 0.0236, 9.6000, 0.3625, -603.0700, 1788.5019, 8.5000, 20.9167, 0.0001, 0.3473, 160.5384, 0.8230, 0.1534, 55.0000, 0.0101, 11.2128, 1.6574, 6.9880, 6.0000, 45.3910, 8.0500, 12.1245, 16.9722, 62.2904, 29.0000, 0.0000, 0.4885
36, 25412, 4.5893, 5.0000, 0.0011, 0.0405, 14.8000, 0.2679, -1082.5000, 2044.6828, 20.0000, 37.3333, 0.0003, 0.5263, 116.9591, 0.8049, 0.1301, 23.0000, 0.0173, 9.3808, 1.6071, 8.9821, 9.7000, 32.9774, 10.4700, 17.9343, 22.4333, 85.5000, 15.0000, 0.0246, 0.6842
37, 26107, 4.3265, 4.0000, 0.0033, 0.0101, 8.1000, 0.4286, -710.9100, 1799.9669, 15.0000, 24.5000, 0.0008, 0.5294, 192.2338, 0.8311, 0.1588, 8.0000, 0.0169, 8.3545, 1.7959, 7.5306, 13.0000, 30.0328, 10.1200, 15.1568, 18.7796, 52.0200, 6.0000, 0.0000, 0.7059
38, 26406, 4.8053, 5.0000, 0.0018, 0.0167, 13.5000, 0.3363, -647.9900, 1493.8546, 14.0000, 22.6000, 0.0005, 0.5254, 71.8184, 0.8481, 0.1351, 22.0000, 0.0142, 9.2247, 2.0088, 8.2566, 10.4000, 13.9473, 10.5100, 16.9284, 21.4294, 139.2400, 22.0000, 0.0000, 0.7203
39, 27186, 4.5750, 5.0000, 0.0006, 0.0162, 11.0000, 0.3750, -735.6000, 1495.7805, 10.5000, 25.4545, 0.0002, 0.3402, 106.7536, 0.8372, 0.1465, 59.0000, 0.0246, 10.8648, 1.8321, 7.3179, 7.3000, 25.9994, 8.8100, 15.9566, 20.1818, 93.6737, 30.0000, 0.0000, 0.5292
40, 28977, 4.5875, 5.0000, 0.0026, 0.0141, 9.1000, 0.4375, -576.5000, 1363.2972, 11.5000, 20.0000, 0.0008, 0.4881, 96.3719, 0.8233, 0.1546, 21.0000, 0.0080, 9.0010, 1.8250, 7.0125, 6.0000, 32.1400, 9.3300, 13.7450, 17.0000, 103.7647, 8.0000, 0.0080, 0.7024
41, 29478, 4.1090, 4.0000, 0.0008, 0.0450, 11.8000, 0.3397, -750.6500, 2065.8502, 13.0000, 26.0000, 0.0003, 0.4037, 137.3404, 0.8129, 0.1420, 25.0000, 0.0081, 10.3708, 1.6474, 7.3910, 6.4000, 41.0719, 8.8500, 13.9897, 18.8615, 72.8118, 19.0000, 0.0000, 0.5652
42, 30347, 4.5536, 4.0000, 0.0026, 0.0244, 9.9000, 0.3214, -812.2400, 1427.1701, 15.0000, 28.0000, 0.0007, 0.5172, 196.1950, 0.8262, 0.1494, 19.0000, 0.0122, 8.6096, 1.6786, 7.3036, 8.8000, 36.4079, 9.3800, 15.1371, 17.6286, 50.9697, 5.0000, 0.0000, 0.6897
43, 30678, 4.4875, 4.0000, 0.0009, 0.0294, 11.0000, 0.3125, -771.4100, 2022.4738, 14.5000, 26.6667, 0.0002, 0.6747, 110.3208, 0.8256, 0.1450, 22.0000, 0.0084, 8.6296, 1.5875, 7.6875, 11.2000, 45.4658, 10.6700, 13.5425, 18.1667, 90.6447, 9.0000, 0.0000, 0.7831
44, 31157, 4.4464, 4.0000, 0.0037, 0.0302, 7.6000, 0.3750, -815.0100, 1573.5466, 14.0000, 28.0000, 0.0011, 0.6034, 77.2889, 0.8087, 0.1611, 14.0000, 0.0134, 8.1804, 1.3929, 8.1071, 11.2000, 60.5793, 8.2900, 11.7657, 15.4857, 129.3846, 4.0000, 0.0000, 0.7931
45, 31458, 4.4474, 5.0000, 0.0029, 0.0120, 10.7000, 0.4211, -544.8100, 3182.8879, 10.5000, 19.0000, 0.0006, 0.7250, 87.5000, 0.8434, 0.1446, 13.0000, 0.0080, 7.4731, 1.5526, 7.1053, 11.2000, 56.1974, 10.1100, 10.1411, 13.9158, 114.2857, 3.0000, 0.0000, 0.8500
46, 31710, 4.7931, 6.0000, 0.0037, 0.0191, 15.5000, 0.2759, -834.8900, 2272.9247, 19.5000, 29.0000, 0.0007, 0.8000, 66.6667, 0.8565, 0.1244, 8.0000, 0.0048, 6.8858, 1.7931, 8.5172, 3.1000, 25.7034, 11.3900, 16.8786, 19.8759, 150.0000, 6.0000, 0.0000, 0.9000
47, 31922, 4.8000, 5.0000, 0.0009, 0.0199, 12.9000, 0.3429, -1015.8000, 2421.6423, 21.0000, 35.0000, 0.0002, 0.7778, 61.7284, 0.8433, 0.1369, 15.0000, 0.0044, 8.1897, 1.9571, 7.8571, 3.1000, 5.7357, 12.1700, 21.1543, 25.4286, 162.0000, 11.0000, 0.0000, 0.8611
48, 32378, 5.4098, 5.0000, 0.0009, 0.0101, 10.7000, 0.4098, -1788.0700, 2672.0680, 39.5000, 61.0000, 0.0002, 0.7903, 62.4350, 0.8438, 0.1461, 25.0000, 0.0025, 7.9897, 1.8033, 7.0820, 3.1000, -7.6374, 12.7700, 29.4787, 34.8918, 160.1667, 10.0000, 0.0000, 0.8710
49, 32778, 4.4667, 6.0000, 0.0035, 0.0139, 15.3000, 0.3333, -864.6500, 2380.8382, 20.0000, 30.0000, 0.0006, 0.8065, 62.4350, 0.8611, 0.1250, 9.0000, 0.0046, 6.9304, 2.1333, 8.0333, 11.2000, -4.0950, 12.7600, 21.2833, 29.3333, 160.1667, 6.0000, 0.0000, 0.9032
50, 32997, 4.6140, 5.0000, 0.0005, 0.0200, 14.3000, 0.3421, -821.7100, 1723.8172, 12.0000, 28.5000, 0.0002, 0.4068, 140.7641, 0.8472, 0.1328, 35.0000, 0.0219, 10.5498, 2.0570, 7.4737, 5.1000, 3.8838, 10.4000, 19.7978, 23.6807, 71.0408, 39.0000, 0.0000, 0.5636
51, 34551, 4.2372, 5.0000, 0.0006, 0.0304, 13.2000, 0.3654, -749.0200, 2524.9280, 14.5000, 26.0000, 0.0002, 0.5185, 121.1706, 0.8330, 0.1366, 34.0000, 0.0132, 9.8247, 1.7500, 7.6667, 7.8000, 32.3950, 10.7700, 15.2000, 18.8615, 82.5283, 27.0000, 0.0000, 0.6481
52, 35542, 4.3061, 5.0000, 0.0034, 0.0119, 12.6000, 0.4082, -705.3400, 1643.2130, 16.5000, 24.5000, 0.0009, 0.6275, 130.7190, 0.8507, 0.1373, 9.0000, 0.0060, 8.0420, 2.0816, 6.6531, 10.1000, 5.8614, 11.9700, 18.5283, 23.6776, 76.5000, 10.0000, 0.0000, 0.7843
53, 35880, 4.4101, 5.0000, 0.0009, 0.0392, 12.8000, 0.3022, -802.7400, 1677.7211, 13.5000, 27.8000, 0.0003, 0.4406, 122.2554, 0.8157, 0.1379, 19.0000, 0.0166, 9.9063, 1.5252, 8.2662, 8.8000, 49.5878, 9.1000, 13.2491, 18.0265, 81.7960, 22.0000, 0.0048, 0.6224
54, 36724, 4.5580, 5.0000, 0.0008, 0.0254, 12.8000, 0.3261, -1001.1900, 1903.7117, 15.0000, 34.5000, 0.0003, 0.4507, 162.6661, 0.8362, 0.1384, 43.0000, 0.0046, 9.9632, 1.8623, 6.8116, 7.2000, 14.2653, 10.3500, 19.8404, 25.6841, 61.4756, 17.0000, 0.0000, 0.6127
55, 37594, 4.9379, 5.0000, 0.0008, 0.0232, 14.6000, 0.3379, -836.0800, 2207.0732, 14.5000, 29.0000, 0.0002, 0.5333, 94.2222, 0.8355, 0.1312, 40.0000, 0.0101, 9.5620, 1.9103, 7.8207, 8.2000, 15.7848, 10.5500, 18.2621, 22.6345, 106.1321, 24.0000, 0.0081, 0.6867
